Unnamed: 0,Unnamed: 1,Unnamed: 2,Total Number of Filings,Unnamed: 4,Unnamed: 5,19232,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Serial No.,Date,Company Name,File No.,File Name,CUSIP Number,Form Type,Total Pages,Edited Pages,Template type,Edited,Accession Number,Completion Time,Post Status,Edited by,TC Done by,Filed By,SEC Filing Links,Notes,Comments by Barclays ,File Type
59,2020-11-25 00:00:00,,06747QPU5 - Final,,,424B2,22,,Automated,Yes,0001481057-20-000392,,,Shamim,,Sultana,,,,Final
60,2020-11-25 00:00:00,,06747QPW1 - Final,,,424B2,22,,Automated,Yes,0001481057-20-000390,,,Mostafizur,,Habib,,,,Final
61,2020-11-25 00:00:00,,06747QQ26 - Final,,,424B2,24,,Automated,Yes,0001481057-20-000387,,,Habib,,Habib,,,,Final
62,2020-11-25 00:00:00,,06747QQM2 - Final,,,424B2,24,,Automated,Yes,0001481057-20-000394,,,Al Amin,,Habib,,,,Final
63,2020-11-26 00:00:00,,06747QR41 - Final,,,424B2,20,,Automated,Yes,0001481057-20-000411,,,Al Amin,,Habib,,,,Final
64,2020-11-30 00:00:00,,06747QR74,,,424B2,16,,Automated,No,0001481057-20-000396,,,Saykot,,Zakir,,,,Prelim
65,2020-11-30 00:00:00,,06747QRA7,,,424B2,19,,Automated,No,0001481057-20-000398,,,Shamim,,Habib,,,,Prelim
66,2020-11-30 00:00:00,,06747QR90,,,424B2,19,,Automated,No,0001481057-20-000400,,,Jewel,,Habib,,,,Prelim
67,2020-11-30 00:00:00,,06747QRB5,,,424B2,14,,Automated,No,0001481057-20-000399,,,Al Amin,,Habib,,,,Prelim
68,2020-11-30 00:00:00,,06747QQW0 - Final,,,424B2,19,,Automated,Yes,0001481057-20-000408,,,Mahfuza,,Habib,,,,Final
69,2020-11-30 00:00:00,,06747QRC3,,,424B2,13,,Automated,No,0001481057-20-000401,,,Sultana,,Habib,,,,Prelim
70,2020-11-30 00:00:00,,06747QRH2 ,,,424B2,14,,Automated,No,0001481057-20-000397,,,Habib,,Habib,,,,Prelim
71,2020-11-30 00:00:00,,06747QRE9 ,,,424B2,14,,Automated,No,0001481057-20-000402,,,Mahfuza,,Habib,,,,Prelim
72,2020-11-30 00:00:00,,06747QR82,,,424B2,16,,Automated,No,0001481057-20-000412,,,Shamim,,Habib,,,,Prelim
73,2020-12-01 00:00:00,,06747QRG4,,,424B2,13,,Automated,No,0001481057-20-000414,,,Saykot,,Zakir,,,,Prelim
74,2020-12-01 00:00:00,,06747QRS8,,,424B2,20,,Automated,No,0001481057-20-000415,,,Al Amin,,Habib,,,,Prelim
75,2020-12-01 00:00:00,,06747QRR0,,,424B2,20,,Automated,No,0001481057-20-000418,,,Mahfuza,,Sultana,,,,Prelim
76,2020-12-01 00:00:00,,06747QRQ2,,,424B2,16,,Automated,No,0001481057-20-000413,,,Jewel,,Habib,,,,Prelim
77,2020-12-01 00:00:00,,06747QRN9,,,424B2,16,,Automated,No,0001481057-20-000416,,,Shamim,,Habib,,,,Prelim
78,2020-12-01 00:00:00,,06747QRF6,,,424B2,14,,Automated,No,0001481057-20-000417,,,Saykot,,Zakir,,,,Prelim
79,2020-12-01 00:00:00,,06747QRW9,,,424B2,22,,Automated,No,0001481057-20-000422,,,Jewel,,Habib,,,,Prelim
80,2020-12-01 00:00:00,,06747QRU3,,,424B2,20,,Automated,No,0001481057-20-000419,,,Al Amin,,Habib,,,,Prelim
81,2020-12-01 00:00:00,,06747QRV1,,,424B2,20,,Automated,No,0001481057-20-000420,,,Shamim,,Habib,,,,Prelim
82,2020-12-01 00:00:00,,06747QRJ8,,,424B2,22,,Automated,No,0001481057-20-000421,,,Mahfuza,,Sultana,,,,Prelim
83,2020-12-01 00:00:00,,06747QRK5,,,424B2,22,,Automated,No,0001481057-20-000423,,,Saykot,,Zakir,,,,Prelim
84,2020-12-01 00:00:00,,06747QQ59 - Final,,,424B2,22,,Automated,Yes,0001481057-20-000453,,,Al Amin,,Sultana,,,,Final
85,2020-12-01 00:00:00,,06741WMD9,,,424B2,19,,Automated,Yes,0001481057-20-000425,,,Mahfuza,,Sultana,,,,Prelim
86,2020-12-01 00:00:00,,06747QRZ2,,,424B2,21,,Automated,No,0001481057-20-000427,,,Jewel,,Habib,,,,Prelim
87,2020-12-01 00:00:00,,06747QS24,,,424B2,21,,Automated,No,0001481057-20-000428,,,Shamim,,Habib,,,,Prelim
88,2020-12-01 00:00:00,,06747QQ67 - Final,,,424B2,23,,Automated,Yes,0001481057-20-000456,,,Jewel,,Habib,,,,Final
89,2020-12-01 00:00:00,,06747QS32,,,424B2,14,,Automated,No,0001481057-20-000424,,,Saykot,,Zakir,,,,Prelim
90,2020-12-01 00:00:00,,06747QS40,,,424B2,14,,Automated,No,0001481057-20-000429,,,Al Amin,,Habib,,,,Prelim
91,2020-12-01 00:00:00,,06747QS57,,,424B2,15,,Automated,No,0001481057-20-000426,,,Mahfuza,,Sultana,,,,Prelim
92,2020-12-01 00:00:00,,06747QS65,,,424B2,15,,Automated,No,0001481057-20-000430,,,Al Amin,,Habib,,,,Prelim
93,2020-12-01 00:00:00,,06747QQ75 - Final,,,424B2,20,,Automated,Yes,0001481057-20-000457,,,Shamim,,Habib,,,,Final
94,2020-12-01 00:00:00,,06747QSA6,,,424B2,17,,Automated,No,0001481057-20-000431,,,Mahfuza,,Sultana,,,,Prelim
95,2020-12-01 00:00:00,,06747QPV3 - Final,,,424B2,22,,Automated,Yes,0001481057-20-000454,,,Saykot,,Habib,,,,Final
96,2020-12-01 00:00:00,,06747QS81,,,424B2,17,,Automated,No,0001481057-20-000432,,,Shamim,,Habib,,,,Prelim
97,2020-12-01 00:00:00,,06747QRX7,,,424B2,21,,Automated,Yes,0001481057-20-000435,,,Al Amin,,Habib,,,,Prelim
98,2020-12-01 00:00:00,,06747QRY5,,,424B2,18,,Automated,No,0001481057-20-000433,,,Shamim,,Habib,,,,Prelim
99,2020-12-01 00:00:00,,06747QRL3,,,424B2,16,,Automated,No,0001481057-20-000436,,,Saykot,,Habib,,,,Prelim
100,2020-12-01 00:00:00,,06747QS73,,,424B2,17,,Automated,No,0001481057-20-000438,,,Jewel,,Habib,,,,Prelim
101,2020-12-01 00:00:00,,06747QS99,,,424B2,17,,Automated,No,0001481057-20-000440,,,Al Amin,,Habib,,,,Prelim
102,2020-12-01 00:00:00,,06747QSF5,,,424B2,19,,Automated,Yes,0001481057-20-000442,,,Habib,,Habib,,,,Prelim
103,2020-12-02 00:00:00,,06747QSJ7,,,424B2,22,,Automated,No,0001481057-20-000447,,,Habib,,Habib,,,,Prelim
104,2020-12-02 00:00:00,,06747QSF5 - Final,,,424B2,19,,Automated,Yes,0001481057-20-000474,,,Shamim,,Habib,,,,Final
105,2020-12-02 00:00:00,,06747QRG4 - AMD,,,424B2,13,,Automated,Yes,0001481057-20-000451,,,Saykot,,Zakir,,,,Prelim
106,2020-12-02 00:00:00,,06747QRJ8 - AMD,,,424B2,22,,Automated,Yes,0001481057-20-000452,,,Jewel,,Habib,,,,Prelim
